graph6,polynomial
KpCGI?@?G?_@,"0,0,0,0,0,0,2,22,114,516,1836,5760,15926,40434,94636,208240,432964,859008,1633580,2995168,5311330,9143782,15318054,25032174,39974380,62488770,95750844,143998302,212766860,309173826,442200124,622988812,865129084,1184901974,1601493380,2137082118,2816887158,3668971954,4724023530,6014748158,7575303544,9440201420,11643378074,14216592176,17188220052,20581245982,24411974930,28687840052,33406341482,38552972080,44100776484,50008746416,56222355248,62672753884,69278545424,75945941684,82571893206,89045173054,95250686744,101071255180,106392698104,111105819718,115111710122,118323345776,120670417678,122100002240,122580320184,122100002240,120670417678,118323345776,115111710122,111105819718,106392698104,101071255180,95250686744,89045173054,82571893206,75945941684,69278545424,62672753884,56222355248,50008746416,44100776484,38552972080,33406341482,28687840052,24411974930,20581245982,17188220052,14216592176,11643378074,9440201420,7575303544,6014748158,4724023530,3668971954,2816887158,2137082118,1601493380,1184901974,865129084,622988812,442200124,309173826,212766860,143998302,95750844,62488770,39974380,25032174,15318054,9143782,5311330,2995168,1633580,859008,432964,208240,94636,40434,15926,5760,1836,516,114,22,2"
KpCGQ?@?G?_@,"0,0,0,0,0,1,5,34,167,663,2236,6688,17968,44569,102630,222896,458842,903043,1706130,3111486,5492624,9420201,15729181,25632295,40831230,63692136,97407426,146244938,215758269,313102055,447270800,629448968,873226505,1194924404,1613705061,2151778780,2834303229,3689358012,4747518284,6041487182,7605251365,9473302291,11679344751,14255111132,17228694520,20623068159,24454221009,28729620707,33446446249,38590305494,44133947505,50036592095,56243468868,62686092491,69282888730,75940573794,82555984285,89018521181,95213016722,101023004133,106334230528,111038241118,115036004814,118241206173,120583318943,122010038637,122489238068,122010038637,120583318943,118241206173,115036004814,111038241118,106334230528,101023004133,95213016722,89018521181,82555984285,75940573794,69282888730,62686092491,56243468868,50036592095,44133947505,38590305494,33446446249,28729620707,24454221009,20623068159,17228694520,14255111132,11679344751,9473302291,7605251365,6041487182,4747518284,3689358012,2834303229,2151778780,1613705061,1194924404,873226505,629448968,447270800,313102055,215758269,146244938,97407426,63692136,40831230,25632295,15729181,9420201,5492624,3111486,1706130,903043,458842,222896,102630,44569,17968,6688,2236,663,167,34,5,1"
KpCGQ?@?G?_A,"0,0,0,0,0,0,10,48,232,822,2692,7660,20182,48862,111048,237974,485708,948036,1780716,3229782,5677712,9700296,16146878,26238590,41698600,64905054,99079586,148505098,218771102,317047604,452368666,635928974,881355420,1204966286,1625949408,2166489638,2851748256,3709746542,4771031938,6068209538,7635201410,9506360286,11715291542,14293556030,17269124392,20664784104,24496399840,28771267286,33486468768,38627487178,44167034442,50064283848,56264513706,62699293478,69287197078,75935102986,82540090672,88991815734,95175422672,100974756376,106275901384,110970720774,114960492336,118159168220,120496450006,121920200736,122398398848,121920200736,120496450006,118159168220,114960492336,110970720774,106275901384,100974756376,95175422672,88991815734,82540090672,75935102986,69287197078,62699293478,56264513706,50064283848,44167034442,38627487178,33486468768,28771267286,24496399840,20664784104,17269124392,14293556030,11715291542,9506360286,7635201410,6068209538,4771031938,3709746542,2851748256,2166489638,1625949408,1204966286,881355420,635928974,452368666,317047604,218771102,148505098,99079586,64905054,41698600,26238590,16146878,9700296,5677712,3229782,1780716,948036,485708,237974,111048,48862,20182,7660,2692,822,232,48,10"
KpCGa?@?G?_@,"0,0,0,0,0,0,2,23,132,572,2020,6229,17077,42868,99675,217790,450561,889711,1685799,3080467,5447626,9354797,15638178,25505516,40661258,63464044,97111908,145861497,215276980,312497042,446533494,628549399,872161330,1193660862,1612250487,2150100601,2832424234,3687249222,4745224270,6038982997,7602608955,9470501917,11676486094,14252178909,17225817074,20620226951,24451571525,28727135270,33444297876,38588450792,44132571089,50035621475,56243094795,62686207788,69283677912,75941892735,82558008509,89021061908,95216240734,101026682993,106338515153,111042872157,115041122126,118246520447,120588965570,122015711701,122495065086,122015711701,120588965570,118246520447,115041122126,111042872157,106338515153,101026682993,95216240734,89021061908,82558008509,75941892735,69283677912,62686207788,56243094795,50035621475,44132571089,38588450792,33444297876,28727135270,24451571525,20620226951,17225817074,14252178909,11676486094,9470501917,7602608955,6038982997,4745224270,3687249222,2832424234,2150100601,1612250487,1193660862,872161330,628549399,446533494,312497042,215276980,145861497,97111908,63464044,40661258,25505516,15638178,9354797,5447626,3080467,1685799,889711,450561,217790,99675,42868,17077,6229,2020,572,132,23,2"
KpCGa?@?G?_A,"0,0,0,0,0,1,7,41,189,739,2444,7219,19199,47189,107901,232908,477027,934762,1759663,3198841,5631516,9635028,16054015,26112099,41525898,64677544,98780298,148122805,218284865,316444739,451625150,635033099,880282765,1203708652,1624486098,2164820351,2849859275,3707650372,4768726650,6065722315,7632546194,9503581644,11712418131,14290650455,17266229618,20661974280,24493729670,28768817519,33484295465,38625671780,44165628010,50063355388,56264103927,62699453005,69287944494,75936467569,82542067118,88994402989,95178593334,100978482240,106280127915,110975399071,114965547900,118164529884,120502032621,121925921228,122404161106,121925921228,120502032621,118164529884,114965547900,110975399071,106280127915,100978482240,95178593334,88994402989,82542067118,75936467569,69287944494,62699453005,56264103927,50063355388,44165628010,38625671780,33484295465,28768817519,24493729670,20661974280,17266229618,14290650455,11712418131,9503581644,7632546194,6065722315,4768726650,3707650372,2849859275,2164820351,1624486098,1203708652,880282765,635033099,451625150,316444739,218284865,148122805,98780298,64677544,41525898,26112099,16054015,9635028,5631516,3198841,1759663,934762,477027,232908,107901,47189,19199,7219,2444,739,189,41,7,1"
KpCGa?@?G?_C,"0,0,0,0,0,0,2,24,146,630,2206,6718,18262,45390,104848,227626,468544,921104,1739024,3167292,5585982,9568880,15962204,25984204,41354918,64447998,98483422,147737766,217802034,315837842,450886492,634131724,879216340,1202444000,1623030924,2163141586,2847981004,3705542130,4766434284,6063220524,7629906876,9500784692,11709564500,14287722962,17263357664,20659139326,24491086194,28766337936,33482153712,38623822520,44164256466,50062389918,56263733100,62699570758,69288735748,75937786830,82544090024,88996942836,95181813646,100982156948,106284407834,110980024130,114970657686,118169838054,120507670690,121931586332,122409980420,121931586332,120507670690,118169838054,114970657686,110980024130,106284407834,100982156948,95181813646,88996942836,82544090024,75937786830,69288735748,62699570758,56263733100,50062389918,44164256466,38623822520,33482153712,28766337936,24491086194,20659139326,17263357664,14287722962,11709564500,9500784692,7629906876,6063220524,4766434284,3705542130,2847981004,2163141586,1623030924,1202444000,879216340,634131724,450886492,315837842,217802034,147737766,98483422,64447998,41354918,25984204,15962204,9568880,5585982,3167292,1739024,921104,468544,227626,104848,45390,18262,6718,2206,630,146,24,2"
KpCHA?@?G?_@,"0,0,0,0,0,1,5,34,155,635,2136,6476,17472,43629,100798,219732,453298,894123,1691726,3089454,5459224,9371565,15659001,25534303,40695898,63510112,97165450,145930514,215354485,312593847,446638840,628677292,872295509,1193820164,1612411085,2150286960,2832604561,3687454188,4745412080,6039194174,7602789377,9470702811,11676642259,14252353248,17225931248,20620360155,24451629921,28727214743,33444292233,38588471230,44132496641,50035583755,56242955416,62686115707,69283482426,75941756670,82557766565,89020894309,95215965430,101026492805,106338219172,111042669486,115040812062,118246312889,120588649375,122015500745,122494748124,122015500745,120588649375,118246312889,115040812062,111042669486,106338219172,101026492805,95215965430,89020894309,82557766565,75941756670,69283482426,62686115707,56242955416,50035583755,44132496641,38588471230,33444292233,28727214743,24451629921,20620360155,17225931248,14252353248,11676642259,9470702811,7602789377,6039194174,4745412080,3687454188,2832604561,2150286960,1612411085,1193820164,872295509,628677292,446638840,312593847,215354485,145930514,97165450,63510112,40695898,25534303,15659001,9371565,5459224,3089454,1691726,894123,453298,219732,100798,43629,17472,6476,2136,635,155,34,5,1"
KpCHA?@?G?_A,"0,0,0,0,0,0,8,42,214,774,2572,7412,19634,47832,109130,234626,479976,938820,1765980,3207260,5643806,9650894,16075930,26139548,41562186,64721652,98836290,148188992,218365802,316537586,451735138,635155556,880423164,1203860684,1624654796,2164997272,2850049886,3707843314,4768927354,6065918520,7632742538,9503764362,11712593608,14290803102,17266366832,20662082022,24493815128,28768867644,33484321090,38625658928,44165589058,50063280414,56264004176,62699319774,69287792546,75936286744,82541872216,88994187372,95178368124,100978241134,106279884526,110975143224,114965292194,118164267622,120501771900,121925654714,122403900048,121925654714,120501771900,118164267622,114965292194,110975143224,106279884526,100978241134,95178368124,88994187372,82541872216,75936286744,69287792546,62699319774,56264004176,50063280414,44165589058,38625658928,33484321090,28768867644,24493815128,20662082022,17266366832,14290803102,11712593608,9503764362,7632742538,6065918520,4768927354,3707843314,2850049886,2164997272,1624654796,1203860684,880423164,635155556,451735138,316537586,218365802,148188992,98836290,64721652,41562186,26139548,16075930,9650894,5643806,3207260,1765980,938820,479976,234626,109130,47832,19634,7412,2572,774,214,42,8"
KpCHA?@?G?_C,"0,0,0,0,0,1,7,41,183,715,2362,7027,18743,46283,106157,229800,471619,925942,1745441,3176923,5598350,9586468,15984053,26014123,41390706,64495390,98538368,147808035,217880967,315936005,450992938,634260771,879351559,1202603822,1623192166,2163328315,2848161149,3705746996,4766621826,6063430701,7630086656,9500984734,11709719201,14287896287,17263470860,20659270824,24491143644,28766416495,33482146491,38623842262,44164181464,50062350882,56263593381,62699478461,69288539130,75937650715,82543848042,88996774275,95181538392,100981966904,106284110795,110979821589,114970347624,118169629466,120507354487,121931375504,122409662298,121931375504,120507354487,118169629466,114970347624,110979821589,106284110795,100981966904,95181538392,88996774275,82543848042,75937650715,69288539130,62699478461,56263593381,50062350882,44164181464,38623842262,33482146491,28766416495,24491143644,20659270824,17263470860,14287896287,11709719201,9500984734,7630086656,6063430701,4766621826,3705746996,2848161149,2163328315,1623192166,1202603822,879351559,634260771,450992938,315936005,217880967,147808035,98538368,64495390,41390706,26014123,15984053,9586468,5598350,3176923,1745441,925942,471619,229800,106157,46283,18743,7027,2362,715,183,41,7,1"
KpCHA?@?G?_G,"0,0,0,0,0,0,6,36,188,718,2412,7100,18966,46618,106868,230838,473508,928612,1749804,3182874,5607300,9598340,16000806,26035530,41419548,64531066,98584346,147863302,217949342,316015624,451088330,634368322,879475996,1202740298,1623344848,2163490298,2848337068,3705927070,4766810578,6063617398,7630274874,9501162198,11709891290,14288048454,17263609512,20659382780,24491235144,28766474866,33482181812,38623840718,44164155066,50062289156,56263507630,62699359318,69288401790,75937483814,82543667384,88996571786,95181326816,100981737932,106283879916,110979576762,114970103716,118169377304,120507104866,121931118708,122409412192,121931118708,120507104866,118169377304,114970103716,110979576762,106283879916,100981737932,95181326816,88996571786,82543667384,75937483814,69288401790,62699359318,56263507630,50062289156,44164155066,38623840718,33482181812,28766474866,24491235144,20659382780,17263609512,14288048454,11709891290,9501162198,7630274874,6063617398,4766810578,3705927070,2848337068,2163490298,1623344848,1202740298,879475996,634368322,451088330,316015624,217949342,147863302,98584346,64531066,41419548,26035530,16000806,9598340,5607300,3182874,1749804,928612,473508,230838,106868,46618,18966,7100,2412,718,188,36,6"
